amfi_code,Sortino_Ratio,scheme_name
100016,-0.3510474601523085,HDFC Top 100 Fund - Regular Plan - Growth
100025,-0.9418212366054455,HDFC Short Term Debt Fund - Regular - Growth
100033,1.8291339615146909,HDFC Mid-Cap Opportunities Fund - Regular - Growth
101206,1.7995628746984453,ABSL Frontline Equity Fund - Regular - Growth
101207,0.2766437962609221,ABSL Small Cap Fund - Regular - Growth
101208,-1.681037866754094,ABSL Liquid Fund - Regular - Growth
102885,1.4357420130649399,UTI Nifty 50 Index Fund - Regular - Growth
102886,-0.34722230254727443,UTI Mid Cap Fund - Regular - Growth
102887,1.0887552508029967,UTI Flexi Cap Fund - Regular - Growth
118632,1.8501325468557173,Nippon India Large Cap Fund - Regular - Growth
118633,1.1544757169236162,Nippon India Large Cap Fund - Direct - Growth
118634,0.746014630853352,Nippon India Small Cap Fund - Regular - Growth
118635,1.1379767187807346,Nippon India ETF Nifty 50 BeES
118636,-0.6135251287271507,Nippon India Gilt Securities Fund - Regular - Growth
119092,0.05257398559304429,Axis Bluechip Fund - Regular - Growth
119093,0.221086839792755,Axis Bluechip Fund - Direct - Growth
119094,1.7037974802462927,Axis Midcap Fund - Regular - Growth
119095,-0.12818559275851915,Axis Small Cap Fund - Regular - Growth
119120,-0.37676700817071135,SBI Magnum Gilt Fund - Regular Plan - Growth
119551,2.140267129061778,SBI Bluechip Fund - Regular Plan - Growth
119552,1.609776489628299,SBI Bluechip Fund - Direct Plan - Growth
119598,1.675316570012547,SBI Small Cap Fund - Regular Plan - Growth
119599,-0.09438726129459905,SBI Small Cap Fund - Direct Plan - Growth
120503,1.3379431500669134,ICICI Pru Bluechip Fund - Regular - Growth
120504,1.8052937940992428,ICICI Pru Bluechip Fund - Direct - Growth
120505,2.029352940465737,ICICI Pru Midcap Fund - Regular - Growth
120506,1.0958951614736425,ICICI Pru Value Discovery Fund - Regular - Growth
120507,1.0521238822579813,ICICI Pru Liquid Fund - Regular - Growth
120841,0.8625738849916468,Kotak Bluechip Fund - Regular - Growth
120842,0.12469346986474814,Kotak Emerging Equity Fund - Regular - Growth
120843,2.3643200321667095,Kotak Flexicap Fund - Regular - Growth
120844,-0.18772304774540455,Kotak Liquid Fund - Regular - Growth
125497,1.3306512447571266,HDFC Top 100 Fund - Direct Plan - Growth
125498,0.5088128197169165,HDFC Mid-Cap Opportunities Fund - Direct - Growth
148567,2.3856443733687978,Mirae Asset Large Cap Fund - Regular - Growth
148568,1.6327409778735094,Mirae Asset Emerging Bluechip Fund - Regular - Growth
148569,2.1469139263460506,Mirae Asset Tax Saver Fund - Regular - Growth
149322,0.7621288703723083,DSP Top 100 Equity Fund - Regular - Growth
149323,1.875101063919196,DSP Midcap Fund - Regular - Growth
149324,1.6197931764914026,DSP Small Cap Fund - Regular - Growth
